rank_1: {'rank': 1, 'score': np.float64(9.01), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [3.5, 3.15]}, 'member_dict': {'member_1': ['node_1', 'node_2', '2'], 'member_2': ['node_1', 'node_3', '3'], 'member_3': ['node_2', 'node_3', '3'], 'member_4': ['node_1', 'node_4', '2'], 'member_5': ['node_2', 'node_4', '2'], 'member_6': ['node_3', 'node_4', '3']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.3194), 'total_mass': 28.2101, 'max_stress': np.float64(9.01), 'member_stress': {'member_1': -2.1055, 'member_2': -6.0616, 'member_3': -0.1274, 'member_4': 9.0112, 'member_5': 3.848, 'member_6': -4.4524}, 'member_mass': {'member_1': 4.692, 'member_2': 3.518, 'member_3': 7.036, 'member_4': 3.6823, 'member_5': 3.1448, 'member_6': 6.137}}}
rank_2: {'rank': 2, 'score': np.float64(9.35), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [3.5, 2.95]}, 'member_dict': {'member_1': ['node_1', 'node_2', '2'], 'member_2': ['node_1', 'node_3', '3'], 'member_3': ['node_2', 'node_3', '3'], 'member_4': ['node_1', 'node_4', '2'], 'member_5': ['node_2', 'node_4', '2'], 'member_6': ['node_3', 'node_4', '3']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.3379), 'total_mass': 27.6707, 'max_stress': np.float64(9.35), 'member_stress': {'member_1': -2.1854, 'member_2': -6.228, 'member_3': -0.164, 'member_4': 9.3537, 'member_5': 3.9509, 'member_6': -4.5098}, 'member_mass': {'member_1': 4.692, 'member_2': 3.518, 'member_3': 7.036, 'member_4': 3.5795, 'member_5': 3.0239, 'member_6': 5.8213}}}
rank_3: {'rank': 3, 'score': np.float64(10.11), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [3.5, 2.6]}, 'member_dict': {'member_1': ['node_1', 'node_2', '2'], 'member_2': ['node_1', 'node_3', '3'], 'member_3': ['node_2', 'node_3', '3'], 'member_4': ['node_1', 'node_4', '2'], 'member_5': ['node_2', 'node_4', '2'], 'member_6': ['node_3', 'node_4', '3']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.3779), 'total_mass': 26.7561, 'max_stress': np.float64(10.11), 'member_stress': {'member_1': -2.3547, 'member_2': -6.5808, 'member_3': -0.2416, 'member_4': 10.1089, 'member_5': 4.1814, 'member_6': -4.641}, 'member_mass': {'member_1': 4.692, 'member_2': 3.518, 'member_3': 7.036, 'member_4': 3.4096, 'member_5': 2.8206, 'member_6': 5.2799}}}
rank_4: {'rank': 4, 'score': np.float64(10.14), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [3.5, 2.95]}, 'member_dict': {'member_1': ['node_1', 'node_2', '2'], 'member_2': ['node_1', 'node_3', '3'], 'member_3': ['node_2', 'node_3', '3'], 'member_4': ['node_1', 'node_4', '2'], 'member_5': ['node_2', 'node_4', '2'], 'member_6': ['node_3', 'node_4', '2']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.4149), 'total_mass': 24.4374, 'max_stress': np.float64(10.14), 'member_stress': {'member_1': -2.1854, 'member_2': -6.228, 'member_3': -0.164, 'member_4': 9.3537, 'member_5': 3.9509, 'member_6': -10.1441}, 'member_mass': {'member_1': 4.692, 'member_2': 3.518, 'member_3': 7.036, 'member_4': 3.5795, 'member_5': 3.0239, 'member_6': 2.588}}}
rank_5: {'rank': 5, 'score': np.float64(10.55), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [3.5, 2.5]}, 'member_dict': {'member_1': ['node_1', 'node_2', '0'], 'member_2': ['node_1', 'node_3', '3'], 'member_3': ['node_2', 'node_3', '3'], 'member_4': ['node_3', 'node_4', '2'], 'member_5': ['node_4', 'node_2', '2'], 'member_6': ['node_1', 'node_4', '2']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.4226), 'total_mass': 24.9622, 'max_stress': np.float64(10.55), 'member_stress': {'member_1': -2.2212, 'member_2': -6.5091, 'member_3': -0.0772, 'member_4': -10.545, 'member_5': 4.2626, 'member_6': 10.3713}, 'member_mass': {'member_1': 6.0, 'member_2': 3.518, 'member_3': 7.036, 'member_4': 2.2799, 'member_5': 2.7648, 'member_6': 3.3635}}}
constraint_not_met_1: {'rank': 'constraint not met', 'score': np.float64(6.18), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [3.5, 2.8]}, 'member_dict': {'member_1': ['node_1', 'node_2', '0'], 'member_2': ['node_1', 'node_3', '3'], 'member_3': ['node_2', 'node_3', '1'], 'member_4': ['node_3', 'node_4', '4'], 'member_5': ['node_4', 'node_2', '2'], 'member_6': ['node_1', 'node_4', '4']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.1662), 'total_mass': 37.1897, 'max_stress': np.float64(6.18), 'member_stress': {'member_1': -2.0944, 'member_2': -6.1792, 'member_3': -0.0519, 'member_4': -2.5645, 'member_5': 4.0407, 'member_6': 2.4125}, 'member_mass': {'member_1': 6.0, 'member_2': 3.518, 'member_3': 0.78, 'member_4': 9.936, 'member_5': 2.9354, 'member_6': 14.0203}}}
constraint_not_met_2: {'rank': 'constraint not met', 'score': np.float64(13.16), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [3.5, 2.68]}, 'member_dict': {'member_1': ['node_1', 'node_2', '2'], 'member_2': ['node_1', 'node_3', '2'], 'member_3': ['node_2', 'node_3', '2'], 'member_4': ['node_1', 'node_4', '4'], 'member_5': ['node_2', 'node_4', '2'], 'member_6': ['node_3', 'node_4', '3']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.4186), 'total_mass': 31.4412, 'max_stress': np.float64(13.16), 'member_stress': {'member_1': -3.7564, 'member_2': -13.1586, 'member_3': 0.9447, 'member_4': 2.4789, 'member_5': 4.1219, 'member_6': -4.6068}, 'member_mass': {'member_1': 4.692, 'member_2': 1.564, 'member_3': 3.128, 'member_4': 13.7889, 'member_5': 2.866, 'member_6': 5.4023}}}
constraint_not_met_3: {'rank': 'constraint not met', 'score': np.float64(15.12), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [3.5, 2.8]}, 'member_dict': {'member_1': ['node_1', 'node_2', '1'], 'member_2': ['node_1', 'node_3', '2'], 'member_3': ['node_2', 'node_3', '2'], 'member_4': ['node_1', 'node_4', '2'], 'member_5': ['node_2', 'node_4', '2'], 'member_6': ['node_3', 'node_4', '2']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(1.0226), 'total_mass': 14.7864, 'max_stress': np.float64(15.12), 'member_stress': {'member_1': -5.859, 'member_2': -15.1165, 'member_3': -1.2302, 'member_4': 9.6498, 'member_5': 4.0407, 'member_6': -10.2581}, 'member_mass': {'member_1': 1.17, 'member_2': 1.564, 'member_3': 3.128, 'member_4': 3.5051, 'member_5': 2.9354, 'member_6': 2.484}}}
constraint_not_met_4: {'rank': 'constraint not met', 'score': np.float64(15.92), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [3.5, 2.5]}, 'member_dict': {'member_1': ['node_1', 'node_2', '1'], 'member_2': ['node_1', 'node_3', '2'], 'member_3': ['node_2', 'node_3', '2'], 'member_4': ['node_1', 'node_4', '2'], 'member_5': ['node_2', 'node_4', '2'], 'member_6': ['node_3', 'node_4', '2']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(1.1156), 'total_mass': 14.2702, 'max_stress': np.float64(15.92), 'member_stress': {'member_1': -6.2725, 'member_2': -15.9176, 'member_3': -1.45, 'member_4': 10.3713, 'member_5': 4.2626, 'member_6': -10.545}, 'member_mass': {'member_1': 1.17, 'member_2': 1.564, 'member_3': 3.128, 'member_4': 3.3635, 'member_5': 2.7648, 'member_6': 2.2799}}}
constraint_not_met_5: {'rank': 'constraint not met', 'score': np.float64(16.23), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [3.5, 2.4]}, 'member_dict': {'member_1': ['node_1', 'node_2', '1'], 'member_2': ['node_1', 'node_3', '2'], 'member_3': ['node_1', 'node_4', '2'], 'member_4': ['node_2', 'node_3', '2'], 'member_5': ['node_2', 'node_4', '2'], 'member_6': ['node_3', 'node_4', '4']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.7824), 'total_mass': 20.7436, 'max_stress': np.float64(16.23), 'member_stress': {'member_1': -6.4334, 'member_2': -16.2292, 'member_3': 10.6594, 'member_4': -1.5355, 'member_5': 4.3523, 'member_6': -2.6658}, 'member_mass': {'member_1': 1.17, 'member_2': 1.564, 'member_3': 3.3187, 'member_4': 3.128, 'member_5': 2.7101, 'member_6': 8.8528}}}
constraint_not_met_6: {'rank': 'constraint not met', 'score': np.float64(34.19), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [2.0, 2.0]}, 'member_dict': {'member_1': ['node_1', 'node_3', '4'], 'member_2': ['node_2', 'node_3', '4'], 'member_3': ['node_3', 'node_4', '4'], 'member_4': ['node_2', 'node_4', '1'], 'member_5': ['node_1', 'node_4', '1']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(1.2927), 'total_mass': 26.4476, 'max_stress': np.float64(34.19), 'member_stress': {'member_1': -3.7676, 'member_2': -1.507, 'member_3': -2.2606, 'member_4': 27.028, 'member_5': 34.188}, 'member_mass': {'member_1': 6.256, 'member_2': 12.512, 'member_3': 6.256, 'member_4': 0.8721, 'member_5': 0.5515}}}
