rank_1: {'rank': 1, 'score': np.float64(0.2182), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.4, 3.5], 'node_5': [5.0, 2.0]}, 'member_dict': {'member_1': ['node_1', 'node_3', '4'], 'member_2': ['node_3', 'node_4', '0'], 'member_3': ['node_4', 'node_5', '0'], 'member_4': ['node_5', 'node_2', '0'], 'member_5': ['node_5', 'node_1', '1'], 'member_6': ['node_3', 'node_5', '2'], 'member_7': ['node_2', 'node_4', '1']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.2182), 'total_mass': 18.9715, 'max_stress': np.float64(4.14), 'member_stress': {'member_1': -4.1393, 'member_2': -0.0064, 'member_3': 0.113, 'member_4': 0.1018, 'member_5': -0.2358, 'member_6': 0.0711, 'member_7': -0.5618}, 'member_mass': {'member_1': 6.256, 'member_2': 4.2438, 'member_3': 1.6155, 'member_4': 2.2361, 'member_5': 1.0501, 'member_6': 2.8195, 'member_7': 0.7504}}}
rank_2: {'rank': 2, 'score': np.float64(0.2182), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.4, 3.5], 'node_5': [5.0, 2.0]}, 'member_dict': {'member_1': ['node_1', 'node_3', '4'], 'member_2': ['node_3', 'node_4', '0'], 'member_3': ['node_4', 'node_5', '0'], 'member_4': ['node_5', 'node_2', '0'], 'member_5': ['node_5', 'node_1', '1'], 'member_6': ['node_3', 'node_5', '2'], 'member_7': ['node_2', 'node_4', '1']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.2182), 'total_mass': 18.9715, 'max_stress': np.float64(4.14), 'member_stress': {'member_1': -4.1393, 'member_2': -0.0064, 'member_3': 0.113, 'member_4': 0.1018, 'member_5': -0.2358, 'member_6': 0.0711, 'member_7': -0.5618}, 'member_mass': {'member_1': 6.256, 'member_2': 4.2438, 'member_3': 1.6155, 'member_4': 2.2361, 'member_5': 1.0501, 'member_6': 2.8195, 'member_7': 0.7504}}}
rank_3: {'rank': 3, 'score': np.float64(0.532), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.0, 3.5], 'node_5': [5.0, 1.75]}, 'member_dict': {'member_1': ['node_1', 'node_3', '3'], 'member_2': ['node_3', 'node_4', '1'], 'member_3': ['node_4', 'node_5', '1'], 'member_4': ['node_5', 'node_2', '1'], 'member_5': ['node_5', 'node_1', '1'], 'member_6': ['node_3', 'node_5', '1'], 'member_7': ['node_2', 'node_4', '3']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.532), 'total_mass': 13.8911, 'max_stress': np.float64(7.39), 'member_stress': {'member_1': -7.3851, 'member_2': 0.0, 'member_3': 0.0, 'member_4': 0.0, 'member_5': -0.0, 'member_6': 0.0, 'member_7': 0.0}, 'member_mass': {'member_1': 3.518, 'member_2': 0.7861, 'member_3': 0.393, 'member_4': 0.393, 'member_5': 1.033, 'member_6': 0.6773, 'member_7': 7.0908}}}
rank_4: {'rank': 4, 'score': np.float64(0.532), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.0, 3.5], 'node_5': [5.0, 1.75]}, 'member_dict': {'member_1': ['node_1', 'node_3', '3'], 'member_2': ['node_3', 'node_4', '1'], 'member_3': ['node_4', 'node_5', '1'], 'member_4': ['node_5', 'node_2', '1'], 'member_5': ['node_5', 'node_1', '1'], 'member_6': ['node_3', 'node_5', '1'], 'member_7': ['node_2', 'node_4', '3']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.532), 'total_mass': 13.8911, 'max_stress': np.float64(7.39), 'member_stress': {'member_1': -7.3851, 'member_2': 0.0, 'member_3': 0.0, 'member_4': 0.0, 'member_5': -0.0, 'member_6': 0.0, 'member_7': 0.0}, 'member_mass': {'member_1': 3.518, 'member_2': 0.7861, 'member_3': 0.393, 'member_4': 0.393, 'member_5': 1.033, 'member_6': 0.6773, 'member_7': 7.0908}}}
rank_5: {'rank': 5, 'score': np.float64(0.532), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.0, 3.5], 'node_5': [5.0, 1.75]}, 'member_dict': {'member_1': ['node_1', 'node_3', '3'], 'member_2': ['node_3', 'node_4', '1'], 'member_3': ['node_4', 'node_5', '1'], 'member_4': ['node_5', 'node_2', '1'], 'member_5': ['node_5', 'node_1', '1'], 'member_6': ['node_3', 'node_5', '1'], 'member_7': ['node_2', 'node_4', '3']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.532), 'total_mass': 13.8911, 'max_stress': np.float64(7.39), 'member_stress': {'member_1': -7.3851, 'member_2': 0.0, 'member_3': 0.0, 'member_4': 0.0, 'member_5': -0.0, 'member_6': 0.0, 'member_7': 0.0}, 'member_mass': {'member_1': 3.518, 'member_2': 0.7861, 'member_3': 0.393, 'member_4': 0.393, 'member_5': 1.033, 'member_6': 0.6773, 'member_7': 7.0908}}}
rank_6: {'rank': 6, 'score': np.float64(0.532), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.0, 3.5], 'node_5': [5.0, 1.75]}, 'member_dict': {'member_1': ['node_1', 'node_3', '3'], 'member_2': ['node_3', 'node_4', '1'], 'member_3': ['node_4', 'node_5', '1'], 'member_4': ['node_5', 'node_2', '1'], 'member_5': ['node_5', 'node_1', '1'], 'member_6': ['node_3', 'node_5', '1'], 'member_7': ['node_2', 'node_4', '3']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.532), 'total_mass': 13.8911, 'max_stress': np.float64(7.39), 'member_stress': {'member_1': -7.3851, 'member_2': 0.0, 'member_3': 0.0, 'member_4': 0.0, 'member_5': -0.0, 'member_6': 0.0, 'member_7': 0.0}, 'member_mass': {'member_1': 3.518, 'member_2': 0.7861, 'member_3': 0.393, 'member_4': 0.393, 'member_5': 1.033, 'member_6': 0.6773, 'member_7': 7.0908}}}
rank_7: {'rank': 7, 'score': np.float64(0.532), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.0, 3.5], 'node_5': [5.0, 1.75]}, 'member_dict': {'member_1': ['node_1', 'node_3', '3'], 'member_2': ['node_3', 'node_4', '1'], 'member_3': ['node_4', 'node_5', '1'], 'member_4': ['node_5', 'node_2', '1'], 'member_5': ['node_5', 'node_1', '1'], 'member_6': ['node_3', 'node_5', '1'], 'member_7': ['node_2', 'node_4', '3']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.532), 'total_mass': 13.8911, 'max_stress': np.float64(7.39), 'member_stress': {'member_1': -7.3851, 'member_2': 0.0, 'member_3': 0.0, 'member_4': 0.0, 'member_5': -0.0, 'member_6': 0.0, 'member_7': 0.0}, 'member_mass': {'member_1': 3.518, 'member_2': 0.7861, 'member_3': 0.393, 'member_4': 0.393, 'member_5': 1.033, 'member_6': 0.6773, 'member_7': 7.0908}}}
rank_8: {'rank': 8, 'score': np.float64(0.5743), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.05, 3.5], 'node_5': [5.0, 1.8]}, 'member_dict': {'member_1': ['node_1', 'node_3', '3'], 'member_2': ['node_3', 'node_4', '1'], 'member_3': ['node_4', 'node_5', '0'], 'member_4': ['node_5', 'node_2', '0'], 'member_5': ['node_5', 'node_1', '1'], 'member_6': ['node_3', 'node_5', '2'], 'member_7': ['node_4', 'node_2', '1']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.5743), 'total_mass': 12.8689, 'max_stress': np.float64(7.39), 'member_stress': {'member_1': -7.385, 'member_2': -0.0001, 'member_3': -0.0083, 'member_4': -0.0084, 'member_5': -0.0006, 'member_6': 0.0002, 'member_7': 0.0428}, 'member_mass': {'member_1': 3.518, 'member_2': 0.791, 'member_3': 1.9474, 'member_4': 2.0591, 'member_5': 1.0363, 'member_6': 2.7359, 'member_7': 0.7813}}}
constraint_not_met_1: {'rank': 'constraint not met', 'score': np.float64(0.7524), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.35, 3.6], 'node_5': [4.95, 2.1]}, 'member_dict': {'member_1': ['node_1', 'node_3', '3'], 'member_2': ['node_3', 'node_4', '1'], 'member_3': ['node_4', 'node_5', '1'], 'member_4': ['node_5', 'node_2', '1'], 'member_5': ['node_5', 'node_1', '1'], 'member_6': ['node_3', 'node_5', '2'], 'member_7': ['node_2', 'node_4', '1']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.7524), 'total_mass': 9.7817, 'max_stress': np.float64(7.36), 'member_stress': {'member_1': -7.3613, 'member_2': -0.0361, 'member_3': 0.6206, 'member_4': 0.5595, 'member_5': -0.233, 'member_6': 0.0717, 'member_7': -0.6006}, 'member_mass': {'member_1': 3.518, 'member_2': 0.8383, 'member_3': 0.315, 'member_4': 0.4578, 'member_5': 1.0485, 'member_6': 2.8317, 'member_7': 0.7722}}}
constraint_not_met_2: {'rank': 'constraint not met', 'score': np.float64(0.9725), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.0, 3.5], 'node_5': [5.0, 1.63]}, 'member_dict': {'member_1': ['node_1', 'node_3', '3'], 'member_2': ['node_3', 'node_4', '1'], 'member_3': ['node_4', 'node_5', '1'], 'member_4': ['node_5', 'node_2', '1'], 'member_5': ['node_5', 'node_1', '1'], 'member_6': ['node_3', 'node_5', '1'], 'member_7': ['node_2', 'node_4', '1']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(0.9725), 'total_mass': 7.5678, 'max_stress': np.float64(7.36), 'member_stress': {'member_1': -7.3619, 'member_2': -0.019, 'member_3': 0.5837, 'member_4': 0.5444, 'member_5': -0.2205, 'member_6': 0.2493, 'member_7': -0.5738}, 'member_mass': {'member_1': 3.518, 'member_2': 0.7861, 'member_3': 0.4135, 'member_4': 0.3729, 'member_5': 1.0255, 'member_6': 0.6658, 'member_7': 0.7861}}}
constraint_not_met_3: {'rank': 'constraint not met', 'score': np.float64(1.061), 'structure': {'node_dict': {'node_1': [0.0, 0.0], 'node_2': [6.0, 0.0], 'node_3': [2.0, 0.0], 'node_4': [4.0, 2.5]}, 'member_dict': {'member_1': ['node_1', 'node_2', '0'], 'member_2': ['node_1', 'node_3', '1'], 'member_3': ['node_2', 'node_3', '1'], 'member_4': ['node_1', 'node_4', '3'], 'member_5': ['node_2', 'node_4', '3'], 'member_6': ['node_3', 'node_4', '3']}}, 'fem_result': {'max_stress_to_weight_ratio': np.float64(1.061), 'total_mass': 26.7303, 'max_stress': np.float64(28.36), 'member_stress': {'member_1': -0.8632, 'member_2': -28.3588, 'member_3': 12.8846, 'member_4': -4.4228, 'member_5': -1.501, 'member_6': 4.5029}, 'member_mass': {'member_1': 6.0, 'member_2': 0.39, 'member_3': 0.78, 'member_4': 8.2972, 'member_5': 5.6315, 'member_6': 5.6315}}}
